"","date","state","net_approval","cases","deaths","Diff_date","Diff_growth"
"1","2020-03-13","alabama",0.18745789699308,6,0,1,5
"2","2020-03-14","alabama",0.188548683404777,12,0,1,10
"3","2020-03-15","alabama",0.189662563537265,23,0,1,20
"4","2020-03-16","alabama",0.190703656072019,29,0,1,26
"5","2020-03-17","alabama",0.19107110049605,39,0,1,29
"6","2020-03-18","alabama",0.191426821800367,51,0,1,36
"7","2020-03-19","alabama",0.191744748606773,78,0,1,61
"8","2020-03-20","alabama",0.19210042865891,106,0,18,105
"9","2020-03-21","alabama",0.192491425771681,131,0,1,109
"10","2020-03-22","alabama",0.191377304182742,157,0,1,133
"11","2020-03-23","alabama",0.190324556031843,196,0,1,170
"12","2020-03-24","alabama",0.189233878375896,242,0,1,214
"13","2020-03-25","alabama",0.188192785841141,386,1,1,349
"14","2020-03-26","alabama",0.187090452569049,538,3,1,489
"15","2020-03-27","alabama",0.18563204311612,639,4,1,583
"16","2020-03-28","alabama",0.184089656439464,720,4,1,646
"17","2020-03-29","alabama",0.182631063204312,830,5,1,745
"18","2020-03-30","alabama",0.181088860309878,947,11,27,946
"19","2020-03-31","alabama",0.179630083292504,999,14,1,903
"20","2020-04-01","alabama",0.178945434503031,1108,28,23,1106
"21","2020-04-02","alabama",0.178260869565217,1270,32,-17,957
"22","2020-04-03","alabama",0.177609015188633,1535,38,-26,1131
"23","2020-04-04","alabama",0.176924490170862,1633,44,-26,1218
"24","2020-04-05","alabama",0.1761896013228,1841,45,1,1653
"25","2020-04-06","alabama",0.175026027313369,2006,53,1,1806
"26","2020-04-07","alabama",0.173801212566599,2197,64,1,1984
"27","2020-04-08","alabama",0.172637638557168,2499,67,1,2278
"28","2020-04-09","alabama",0.171412823810399,2838,78,1,2638
"29","2020-04-10","alabama",0.170249249800968,3008,80,9,2870
"30","2020-04-11","alabama",0.170984138649029,3262,93,1,3023
"31","2020-04-12","alabama",0.17178026823443,3583,93,1,3322
"32","2020-04-13","alabama",0.172525722684958,3805,104,1,3535
"33","2020-04-14","alabama",0.173311286667891,3953,114,1,3678
"34","2020-04-15","alabama",0.174107416253292,4241,123,1,3959
"35","2020-04-16","alabama",0.17214771265846,4404,137,1,4116
"36","2020-04-17","alabama",0.170198432141107,4572,151,1,4277
"37","2020-04-18","alabama",0.168289546206136,4723,147,1,4418
"38","2020-04-19","alabama",0.166329842611305,4903,160,1,4594
"39","2020-04-20","alabama",0.164308898279135,5078,164,18,4924
"40","2020-04-21","alabama",0.164931406173444,5327,186,1,5010
"41","2020-04-22","alabama",0.165594953763243,5610,201,1,5288
"42","2020-04-23","alabama",0.16614612039929,5832,197,1,5506
"43","2020-04-24","alabama",0.166768740813327,6026,209,1,5694
"44","2020-04-25","alabama",0.167370935146059,6213,213,1,5864
"45","2020-04-26","alabama",0.167370935146059,6421,219,1,6059
"46","2020-04-27","alabama",0.167370935146059,6539,228,1,6168
"47","2020-04-28","alabama",0.167370935146059,6750,242,1,6361
"48","2020-04-29","alabama",0.167370935146059,6925,262,1,6529
"49","2020-03-12","alaska",0.0859617035571648,1,0,1,0
"50","2020-03-13","alaska",0.0873395043296507,1,0,0,-5
"51","2020-03-14","alaska",0.0886864991974918,1,0,0,-11
"52","2020-03-15","alaska",0.0900302340338174,1,0,0,-22
"53","2020-03-16","alaska",0.0914112948378186,3,0,0,-26
"54","2020-03-17","alaska",0.0916725766115488,6,0,0,-33
"55","2020-03-18","alaska",0.0918931024186324,9,0,0,-42
"56","2020-03-19","alaska",0.0921578141913329,12,0,0,-66
"57","2020-03-20","alaska",0.0924190959650629,14,0,0,-92
"58","2020-03-21","alaska",0.092680377738793,21,0,0,-110
"59","2020-03-22","alaska",0.0913705583756344,22,0,0,-135
"60","2020-03-23","alaska",0.0900302340338173,36,0,0,-160
"61","2020-03-24","alaska",0.0887205135861451,42,0,0,-200
"62","2020-03-25","alaska",0.0873800903288418,59,0,0,-327
